N_POINTS, absolute error
100,0.06159265
200,0.00159265
300,0.01840735
400,0.01159265
500,0.06159265
600,0.04159265
700,0.05587837
800,0.05159265
900,0.01714821
1000,0.02159265
1100,0.01795629
1200,0.02825932
1300,0.03082342
1400,0.01302123
1500,0.02959265
1600,0.01909265
1700,0.01218089
1800,0.00381488
1900,0.00577577
2000,0.00240735
2100,0.01078830
2200,0.00568007
2300,0.00449430
2400,0.00340735
2500,0.00399265
2600,0.00774650
2700,0.00062957
2800,0.00697877
2900,0.01426942
3000,0.00774068
3100,0.01453638
3200,0.00965735
3300,0.01477098
3400,0.02076029
3500,0.01726449
3600,0.01729624
3700,0.02165059
3800,0.01945998
3900,0.03071504
4000,0.03540735
4100,0.04084637
4200,0.04316925
4300,0.04445386
4400,0.03658916
4500,0.03262957
4600,0.03405952
4700,0.03287543
4800,0.03257401
4900,0.03555020
5000,0.03280735
5100,0.03017205
5200,0.02686888
5300,0.02746395
5400,0.02359253
5500,0.02058916
5600,0.02626449
5700,0.02753015
5800,0.02185562
5900,0.01772938
6000,0.01374068
6100,0.01250571
6200,0.01131057
6300,0.01142322
6400,0.01278235
6500,0.01225350
6600,0.01174068
6700,0.01363123
6800,0.01487793
6900,0.01434938
7000,0.01669306
7100,0.01108340
7200,0.00729624
7300,0.00470872
7400,0.00759654
7500,0.00614068
7600,0.00735471
7700,0.00749826
7800,0.00507401
7900,0.00169849
8000,0.00090735
8100,0.00260488
8200,0.00377320
8300,0.00635915
8400,0.00016408
8500,0.00088677
8600,0.00019730
8700,0.00182254
8800,0.00295629
8900,0.00406456
9000,0.00248154
9100,0.00401024
9200,0.00550570
9300,0.00610878
9400,0.00457138
9500,0.00517160
9600,0.00617599
9700,0.00386069
9800,0.00240898
9900,0.00219871
10000,0.00319265
10100,0.00733523
10200,0.00825932
10300,0.00761207
10400,0.00582342
10500,0.00597361
10600,0.00461152
10700,0.00663938
10800,0.00603710
10900,0.00471192
11000,0.00450174
11100,0.00537644
11200,0.00587837
11300,0.00778734
11400,0.00825932
11500,0.00872309
11600,0.00676507
11700,0.00860120
11800,0.00803333
11900,0.00881954
12000,0.00925932
12100,0.00870009
12200,0.00651069
12300,0.00923493
12400,0.01094749
12500,0.01071265
12600,0.01238630
12700,0.01245880
12800,0.01190515
12900,0.01198025
13000,0.01328496
13100,0.01212700
13200,0.01189568
13300,0.01136709
13400,0.01024937
13500,0.01092599
13600,0.01159265
13700,0.01166565
13800,0.01173758
13900,0.00979409
14000,0.00902123
14100,0.00882670
14200,0.00919829
14300,0.00816608
14400,0.00853710
14500,0.00724783
14600,0.00679813
14700,0.00581034
14800,0.00402509
14900,0.00333762
15000,0.00265932
15100,0.00331451
15200,0.00369792
15300,0.00224625
15400,0.00419006
15500,0.00275394
15600,0.00313112
15700,0.00273915
15800,0.00007367
15900,0.00180357
16000,0.00340735
16100,0.00101604
16200,0.00112340
16300,0.00172023
16400,0.00206588
16500,0.00119523
16600,0.00153988
16700,0.00164088
16800,0.00102639
16900,0.00183930
17000,0.00146617
17100,0.00156524
17200,0.00212828
17300,0.00199116
17400,0.00116597
17500,0.00056408
17600,0.00204720
17700,0.00193164
17800,0.00159265
17900,0.00170439
18000,0.00225932
18100,0.00214514
18200,0.00225199
18300,0.00148336
18400,0.00137526
18500,0.00061968
18600,0.00030233
18700,0.00001162
18800,0.00052882
18900,0.00191011
19000,0.00348739
19100,0.00358218
19200,0.00346765
19300,0.00314706
19400,0.00241740
19500,0.00231060
19600,0.00363347
19700,0.00311550
19800,0.00219871
19900,0.00350220
20000,0.00299265
20100,0.00427922
20200,0.00396889
20300,0.00326753
20400,0.00374952
20500,0.00403168
20600,0.00353440
20700,0.00439459
20800,0.00274650
20900,0.00341084
21000,0.00444980
21100,0.00434147
21200,0.00574360
21300,0.00506683
21400,0.00327490
21500,0.00317405
21600,0.00288895
21700,0.00279081
21800,0.00324403
21900,0.00351046
22000,0.00413811
22100,0.00494107
22200,0.00429536
22300,0.00311732
22400,0.00319980
22500,0.00417043
22600,0.00442451
22700,0.00450014
22800,0.00475055
22900,0.00395073
23000,0.00281004
23100,0.00289135
23200,0.00297196
23300,0.00288021
23400,0.00330206
23500,0.00559265
23600,0.00515198
23700,0.00488379
23800,0.00495400
23900,0.00468889
24000,0.00442599
24100,0.00466319
24200,0.00473315
24300,0.00529636
24400,0.00519921
24500,0.00526612
24600,0.00516989
24700,0.00491249
24800,0.00417330
24900,0.00520711
25000,0.00495265
25100,0.00501895
25200,0.00540218
25300,0.00562427
25400,0.00741943
25500,0.00747501
25600,0.00846765
25700,0.00711795
25800,0.00748413
25900,0.00784748
26000,0.00713112
26100,0.00733978
26200,0.00739418
26300,0.00623144
26400,0.00628962
26500,0.00619643
26600,0.00520168
26700,0.00496344
26800,0.00457773
26900,0.00523578
27000,0.00529636
27100,0.00491369
27200,0.00394559
27300,0.00357068
27400,0.00290652
27500,0.00311993
27600,0.00246222
27700,0.00282009
27800,0.00245596
27900,0.00209445
28000,0.00316408
28100,0.00337201
28200,0.00230187
28300,0.00265272
28400,0.00243772
28500,0.00250493
28600,0.00243181
28700,0.00235920
28800,0.00214821
28900,0.00193867
29000,0.00269610
29100,0.00344832
29200,0.00337348
29300,0.00439129
29400,0.00472191
29500,0.00505028
29600,0.00497103
29700,0.00529636
29800,0.00561950
29900,0.00540536
30000,0.00545932
30100,0.00538003
30200,0.00463901
30300,0.00443094
30400,0.00488213
30500,0.00546151
30600,0.00551422
30700,0.00452425
30800,0.00406019
30900,0.00411693
31000,0.00391523
31100,0.00474378
31200,0.00415676
31300,0.00459585
31400,0.00464998
31500,0.00394186
31600,0.00425088
31700,0.00380086
31800,0.00335366
31900,0.00290927
32000,0.00259265
32100,0.00265184
32200,0.00295911
32300,0.00363600
32400,0.00319759
32500,0.00362342
32600,0.00490554
32700,0.00483424
32800,0.00451948
32900,0.00396347
33000,0.00438053
33100,0.00419084
33200,0.00352036
33300,0.00453560
33400,0.00470643
33500,0.00487624
33600,0.00599742
33700,0.00556891
33800,0.00573467
33900,0.00519147
34000,0.00488677
34100,0.00505306
34200,0.00533534
34300,0.00491627
34400,0.00461591
34500,0.00501294
34600,0.00506086
34700,0.00487796
34800,0.00504093
34900,0.00520297
35000,0.00490694
35100,0.00495448
35200,0.00409265
35300,0.00357566
35400,0.00317457
35500,0.00345181
35600,0.00249153
35700,0.00310526
35800,0.00282170
35900,0.00242831
36000,0.00270376
36100,0.00253448
36200,0.00192415
36300,0.00308026
36400,0.00313112
36500,0.00351046
36600,0.00377845
36700,0.00382699
36800,0.00333178
36900,0.00316447
37000,0.00278184
37100,0.00261691
37200,0.00191523
37300,0.00218247
37400,0.00298303
37500,0.00335265
37600,0.00361393
37700,0.00334332
37800,0.00370906
37900,0.00322854
38000,0.00369792
38100,0.00353491
38200,0.00358218
38300,0.00331589
38400,0.00242599
38500,0.00289135
38600,0.00293980
38700,0.00309136
38800,0.00293286
38900,0.00256952
39000,0.00220804
39100,0.00174611
39200,0.00149061
39300,0.00215245
39400,0.00199874
39500,0.00174455
39600,0.00088558
39700,0.00113925
39800,0.00219567
39900,0.00224428
40000,0.00269265
40100,0.00214128
40200,0.00189116
40300,0.00243633
